state_name,7-Eleven,Ak Buffet,Arby's,Arctic Circle,B Good,Big Island Pizza,Blake's Lotaburger,Boloco,Boston Market,Burger King,Carl's Jr.,Chick-fil-A,Chun Wah Kam Noodle Factory,Creperie,Culver's,Dairy Queen,Domino's Pizza,Dunkin' Donuts,Hardee's,Jack in the Box,Jimmy John's,KFC,Krystal,McDonald's,Other,Panda Express,Panera Bread,Pizza Hut,SONIC Drive In,Subway,Taco Bell,Taco John's,Taco Time,Wendy's
Idaho,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,0,0,10,0,0,4,5
Illinois,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,23,0,0,69,179,0,0,0,0,29,29,0,0,0
Indiana,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,15,0,25,41,0,0,22
Kansas,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,9,13,0,0,12
Kentucky,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,0,0,0,0,10,18,0,0,18
Louisiana,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,12,0,0,0,0,0,0,44,71,0,0,0,0,0,24,0,0,17
Massachusetts,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,33,0,0,0,0,0,33,63,0,0,0,0,27,0,0,0,17
Maryland,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,13,18,0,0,0
Maine,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,3
Michigan,0,0,42,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,0,0,0,0,47,50,0,0,0
Minnesota,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13,0,0,49,64,0,0,0,0,0,14,0,0,0
Missouri,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,32,53,0,0,0,0,17,38,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,3,0,8,5,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,7,3,8,0,0
